Stock File,Total Rows,Duplicate Pairs,Row1,Row2,Date,Action,Qty,Price1,Price2,Cost1,Cost2,Exch1,Exch2
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,7,19,2025-03-06 00:00:00,Buy,1.0,222.26,222.34,222.26,222.34,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,8,11,2025-03-06 00:00:00,Buy,8.0,222.29,222.33,1778.3,1778.62,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,9,12,2025-03-06 00:00:00,Buy,1.0,222.33,222.25,222.33,222.25,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,9,13,2025-03-06 00:00:00,Buy,1.0,222.33,222.3,222.33,222.3,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,9,15,2025-03-06 00:00:00,Buy,1.0,222.33,222.29,222.33,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,9,16,2025-03-06 00:00:00,Buy,1.0,222.33,222.29,222.33,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,9,17,2025-03-06 00:00:00,Buy,1.0,222.33,222.29,222.33,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,9,18,2025-03-06 00:00:00,Buy,1.0,222.33,222.29,222.33,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,9,19,2025-03-06 00:00:00,Buy,1.0,222.33,222.34,222.33,222.34,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,12,13,2025-03-06 00:00:00,Buy,1.0,222.25,222.3,222.25,222.3,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,12,15,2025-03-06 00:00:00,Buy,1.0,222.25,222.29,222.25,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,12,16,2025-03-06 00:00:00,Buy,1.0,222.25,222.29,222.25,222.29,NSE,NSE
